"idPlayer","namePlayer","dateBirth","numberJersey","idTeam","teamName","slugTeam","cityTeam","slugPlayer","yearSeasonFirst","yearSeasonLast","yearDraft","numberRound","numberOverallPick","slugSeason","nameSchool","nameOrganizationFrom","heightInches","weightLBS","countSeasonsPlayed","pts","ast","treb","ratioPIE","urlNBAAPI","nameFirst","nameLast","namePlayerAbbr","codeTeam","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
1627936,"Alex Caruso",1994-02-28,4,1610612747,"Lakers","LAL","Los Angeles","alex_caruso",2018,2020,NA,NA,NA,"2019-20","Texas A&M","Texas A&M/USA",77,186,2,5.4,1.7,2,0.07,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1627936","Alex","Caruso","A. Caruso","lakers","https://stats.nba.com/player/1627936","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png","https://stats.nba.com/media/players/700/1627936.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627936.png"
1627982,"Josh Gray",1993-09-09,5,1610612756,"Suns","PHX","Phoenix","josh_gray",2018,2020,NA,NA,NA,"2019-20","Louisiana State","Louisiana State/USA",72,180,1,1,1,1,-0.024,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1627982","Josh","Gray","J. Gray","suns","https://stats.nba.com/player/1627982","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627982.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627982.png","https://stats.nba.com/media/players/700/1627982.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
1628021,"David Nwaba",1993-01-14,0,1610612751,"Nets","BKN","Brooklyn","david_nwaba",2017,2020,NA,NA,NA,"2019-20","Cal Poly-Obispo","Cal Poly-Obispo/USA",77,219,3,5.2,0.4,2.3,0.098,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628021","David","Nwaba","D. Nwaba","nets","https://stats.nba.com/player/1628021","https://stats.nba.com/media/players/230x185/1628021.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628021.png","https://stats.nba.com/media/players/700/1628021.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628021.png"
1628035,"Alfonzo McKinnie",1992-09-17,28,1610612739,"Cavaliers","CLE","Cleveland","alfonzo_mckinnie",2018,2020,NA,NA,NA,"2019-20","Wisc.-Green Bay","Wisc.-Green Bay/USA",79,215,2,2.6,0.1,1.8,0.034,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628035","Alfonzo","McKinnie","A. McKinnie","cavaliers","https://stats.nba.com/player/1628035","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628035.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628035.png","https://stats.nba.com/media/players/700/1628035.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628035.png"
1628365,"Markelle Fultz",1998-05-29,20,1610612753,"Magic","ORL","Orlando","markelle_fultz",2018,2020,2017,1,1,"2019-20","Washington","Washington/USA",75,209,2,11.3,4.4,3,0.092,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628365","Markelle","Fultz","M. Fultz","magic","https://stats.nba.com/player/1628365","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628365.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628365.png","https://stats.nba.com/media/players/700/1628365.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628365.png"
1628366,"Lonzo Ball",1997-10-27,2,1610612740,"Pelicans","NOP","New Orleans","lonzo_ball",2018,2020,2017,1,2,"2019-20","UCLA","UCLA/USA",78,190,2,10.8,5.3,5.1,0.09,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628366","Lonzo","Ball","L. Ball","pelicans","https://stats.nba.com/player/1628366","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png","https://stats.nba.com/media/players/700/1628366.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628366.png"
1628368,"De'Aaron Fox",1997-12-20,5,1610612758,"Kings","SAC","Sacramento","de'aaron_fox",2018,2020,2017,1,5,"2019-20","Kentucky","Kentucky/USA",75,185,2,17.6,6.9,3.9,0.121,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628368","De'Aaron","Fox","D. Fox","kings","https://stats.nba.com/player/1628368","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png","https://stats.nba.com/media/players/700/1628368.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628368.png"
1628369,"Jayson Tatum",1998-03-03,0,1610612738,"Celtics","BOS","Boston","jayson_tatum",2018,2020,2017,1,3,"2019-20","Duke","Duke/USA",80,210,2,21.3,2.8,7,0.128,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628369","Jayson","Tatum","J. Tatum","celtics","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
1628370,"Malik Monk",1998-02-04,1,1610612766,"Hornets","CHA","Charlotte","malik_monk",2018,2020,2017,1,11,"2019-20","Kentucky","Kentucky/USA",75,200,2,9,2.1,2.8,0.087,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628370","Malik","Monk","M. Monk","hornets","https://stats.nba.com/player/1628370","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628370.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628370.png","https://stats.nba.com/media/players/700/1628370.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628370.png"
1628371,"Jonathan Isaac",1997-10-03,1,1610612753,"Magic","ORL","Orlando","jonathan_isaac",2018,2020,2017,1,6,"2019-20","Florida State","Florida State/USA",83,230,2,12,1.4,6.9,0.105,"https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=1628371","Jonathan","Isaac","J. Isaac","magic","https://stats.nba.com/player/1628371","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628371.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628371.png","https://stats.nba.com/media/players/700/1628371.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628371.png"
