"idGame","slugTeam","idTeam","teamName","cityTeam","minExact","ptsOffTOV","ptsSecondChance","ptsFastBreak","ptsPaint","ptsOffTOVOpponent","ptsSecondChanceOpponent","ptsFastBreakOpponent","ptsPaintOpponent","blk","blka","pf","pfd"
21900185,"ORL",1610612753,"Magic","Orlando",240,11,8,4,42,17,15,9,34,3,2,15,21
21900186,"MEM",1610612763,"Grizzlies","Memphis",240,10,8,10,40,25,9,29,50,3,10,17,24
21900186,"DEN",1610612743,"Nuggets","Denver",240,25,9,29,50,10,8,10,40,10,3,24,17
21900187,"NOP",1610612740,"Pelicans","New Orleans",240,17,17,8,36,19,13,18,44,5,3,21,19
21900187,"GSW",1610612744,"Warriors","Golden State",240,19,13,18,44,17,17,8,36,3,5,19,21
21900188,"LAL",1610612747,"Lakers","Los Angeles",240,19,14,22,52,19,17,15,50,14,2,19,19
21900188,"ATL",1610612737,"Hawks","Atlanta",240,19,17,15,50,19,14,22,52,2,14,19,19
21900189,"NYK",1610612752,"Knicks","New York",240,32,30,9,54,4,8,4,34,10,1,24,26
21900189,"CLE",1610612739,"Cavaliers","Cleveland",240,4,8,4,34,32,30,9,54,1,10,26,24
21900190,"IND",1610612754,"Pacers","Indiana",240,13,16,14,48,14,12,5,34,8,7,22,19
21900190,"BKN",1610612751,"Nets","Brooklyn",240,14,12,5,34,13,16,14,48,7,8,19,22
21900191,"TOR",1610612761,"Raptors","Toronto",240,39,19,20,58,15,8,5,30,2,8,25,19
21900191,"CHA",1610612766,"Hornets","Charlotte",240,15,8,5,30,39,19,20,58,8,2,19,25
21900192,"MIL",1610612749,"Bucks","Milwaukee",240,17,10,16,46,20,16,11,50,9,6,16,25
21900192,"CHI",1610612741,"Bulls","Chicago",240,20,16,11,50,17,10,16,46,6,9,25,16
21900193,"POR",1610612757,"Trail Blazers","Portland",240,19,19,11,46,23,23,11,58,5,10,21,21
21900193,"HOU",1610612745,"Rockets","Houston",240,23,23,11,58,19,19,11,46,10,5,21,21
21900194,"SAS",1610612759,"Spurs","San Antonio",240,14,20,7,50,8,12,16,34,2,3,18,19
21900194,"DAL",1610612742,"Mavericks","Dallas",240,8,12,16,34,14,20,7,50,3,2,19,18
21900195,"PHX",1610612756,"Suns","Phoenix",240,16,5,21,44,15,12,16,46,6,5,17,21
21900195,"BOS",1610612738,"Celtics","Boston",240,15,12,16,46,16,5,21,44,5,6,21,17
21900196,"UTA",1610612762,"Jazz","Utah",240,18,13,10,42,12,6,8,44,5,10,23,25
21900196,"MIN",1610612750,"Timberwolves","Minnesota",240,12,6,8,44,18,13,10,42,10,5,25,23
21900197,"OKC",1610612760,"Thunder","Oklahoma City",240,14,7,7,26,18,17,5,38,4,5,19,25
21900197,"LAC",1610612746,"Clippers","LA",240,18,17,5,38,14,7,7,26,5,4,25,19
21900198,"MEM",1610612763,"Grizzlies","Memphis",240,15,5,14,52,23,14,12,46,4,10,23,24
21900198,"GSW",1610612744,"Warriors","Golden State",240,23,14,12,46,15,5,14,52,10,4,24,23
21900199,"POR",1610612757,"Trail Blazers","Portland",240,16,26,14,38,13,16,14,48,4,5,23,15
21900199,"NOP",1610612740,"Pelicans","New Orleans",240,13,16,14,48,16,26,14,38,5,4,15,23
21900200,"SAC",1610612758,"Kings","Sacramento",240,15,6,7,50,21,12,3,44,7,4,26,20
21900200,"PHX",1610612756,"Suns","Phoenix",240,21,12,3,44,15,6,7,50,4,7,20,26
