"idGame","namePlayer","passes","fgmContested","fgaContested","pctFGContested","fgmUncontested","fgaUncontested","pctFGUncontested","fgmRimDefended","fgaRimDefended","pctFGRimDefended","distMiles","mphMean","orebChances","drebChances","trebChances","touches","astSecondary","ftAST","ast"
21900003,"Lauri Markkanen",29,7,12,0.583,6,13,0.462,1,2,0.5,2.58,4.25,7,14,21,62,0,0,2
21900003,"Wendell Carter Jr.",26,4,10,0.4,1,1,1,5,10,0.5,2.22,4.23,14,10,23,41,0,2,0
21900003,"Zach LaVine",38,4,9,0.444,3,8,0.375,1,1,1,2.46,4.64,4,4,8,62,0,3,7
21900003,"Tomas Satoransky",39,1,3,0.333,0,2,0,0,1,0,2.08,4.8,0,0,0,45,0,1,3
21900003,"Luke Kornet",9,0,2,0,0,1,0,3,3,1,0.57,4.65,3,2,5,13,0,0,0
21900003,"Coby White",34,4,5,0.8,2,8,0.25,2,3,0.667,2.11,4.33,2,4,6,49,1,1,7
21900003,"Thaddeus Young",35,2,4,0.5,5,7,0.714,1,1,1,1.98,4.32,5,3,8,49,1,0,2
21900003,"Kris Dunn",35,4,4,1,1,3,0.333,1,1,1,1.93,4.51,2,2,4,44,0,0,2
21900003,"Ryan Arcidiacono",9,0,0,0,2,3,0.667,1,1,1,0.91,4.67,4,1,5,12,0,0,1
21900003,"Daniel Gafford",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900003,"Shaquille Harrison",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900003,"Denzel Valentine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900003,"Miles Bridges",28,2,3,0.667,2,4,0.5,3,5,0.6,2.44,4.36,0,8,8,37,1,0,3
21900003,"P.J. Washington",44,1,4,0.25,8,13,0.615,4,8,0.5,2.93,4.37,5,6,11,68,2,0,1
21900003,"Cody Zeller",58,3,6,0.5,3,5,0.6,7,16,0.438,2.79,4.52,11,15,25,76,1,0,1
21900003,"Dwayne Bacon",32,4,9,0.444,4,12,0.333,1,4,0.25,2.46,4.2,3,8,11,61,1,0,3
21900003,"Terry Rozier",69,1,4,0.25,1,6,0.167,3,3,1,2.47,4.57,3,10,13,84,0,0,6
21900003,"Devonte' Graham",53,1,1,1,6,8,0.75,2,3,0.667,2.1,4.29,1,6,7,67,0,0,8
21900003,"Marvin Williams",19,2,5,0.4,4,4,1,4,5,0.8,1.24,4.03,1,3,4,29,0,0,1
21900003,"Nicolas Batum",14,0,0,0,0,0,0,0,0,0,0.86,4.26,2,4,6,17,0,0,2
21900003,"Malik Monk",10,2,3,0.667,1,1,1,3,3,1,1.36,4.49,0,4,4,18,0,0,3
21900003,"Bismack Biyombo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900003,"Willy Hernangomez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900003,"Michael Kidd-Gilchrist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900003,"Caleb Martin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900004,"Tony Snell",35,1,2,0.5,3,5,0.6,2,2,1,2.39,4.18,0,4,4,44,0,0,2
21900004,"Markieff Morris",31,2,4,0.5,1,7,0.143,1,1,1,1.51,3.74,1,5,6,47,0,1,2
21900004,"Andre Drummond",53,12,17,0.706,0,1,0,6,11,0.545,2.84,3.81,16,21,35,80,0,2,2
21900004,"Bruce Brown",21,1,4,0.25,2,2,1,2,4,0.5,2.24,4.28,2,9,11,33,0,0,4
21900004,"Reggie Jackson",36,1,1,1,1,2,0.5,0,1,0,1.5,4.05,0,2,2,40,0,0,5
21900004,"Luke Kennard",24,0,3,0,8,10,0.8,1,1,1,2.18,4.19,0,6,6,45,0,0,2
21900004,"Derrick Rose",46,5,7,0.714,1,4,0.25,3,4,0.75,2.04,4.23,1,3,4,67,2,0,9
21900004,"Thon Maker",23,0,1,0,1,3,0.333,4,7,0.571,1.32,4.5,0,3,3,30,0,0,0
21900004,"Langston Galloway",15,1,3,0.333,1,1,1,0,1,0,1.61,4.38,2,3,5,23,0,0,0
21900004,"Christian Wood",3,0,0,0,0,0,0,0,0,0,0.35,5.01,0,0,0,5,0,0,0
21900004,"Tim Frazier",0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
21900004,"Svi Mykhailiuk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900004,"Khyri Thomas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900004,"T.J. Warren",26,4,7,0.571,1,5,0.2,0,0,0,2.58,4.26,1,2,3,43,1,0,0
21900004,"Domantas Sabonis",67,9,12,0.75,2,3,0.667,4,5,0.8,2.73,4.16,11,10,20,87,0,0,2
21900004,"Myles Turner",43,2,6,0.333,7,9,0.778,8,12,0.667,2.81,4.08,3,12,15,64,0,0,0
21900004,"Jeremy Lamb",29,1,3,0.333,3,8,0.375,1,1,1,1.9,4.03,1,4,5,43,0,0,3
21900004,"Malcolm Brogdon",69,2,5,0.4,3,8,0.375,3,4,0.75,2.65,4.08,3,6,9,92,0,0,11
21900004,"Edmond Sumner",20,2,3,0.667,1,3,0.333,1,2,0.5,1.74,4.37,1,2,3,28,0,0,2
21900004,"Justin Holiday",10,0,2,0,0,0,0,0,0,0,1.16,4.35,0,0,0,14,0,0,2
21900004,"Aaron Holiday",14,0,3,0,0,3,0,0,0,0,0.62,5.04,1,1,1,23,1,0,2
21900004,"Doug McDermott",0,1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
21900004,"TJ Leaf",4,0,1,0,0,0,0,1,1,1,0.3,5.02,0,1,1,5,0,0,0
21900004,"T.J. McConnell",23,0,1,0,2,3,0.667,0,0,0,1.14,4.71,0,4,4,30,0,0,3
21900004,"Goga Bitadze",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900004,"JaKarr Sampson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900005,"Cedi Osman",24,1,2,0.5,4,7,0.571,0,1,0,2.12,4.15,2,4,6,39,0,0,2
21900005,"Kevin Love",55,1,6,0.167,3,4,0.75,4,7,0.571,2.69,4.23,9,19,26,69,1,0,3
21900005,"Tristan Thompson",47,5,6,0.833,3,5,0.6,7,13,0.538,2.44,4.19,7,17,23,61,0,0,1
21900005,"Darius Garland",49,1,2,0.5,2,7,0.286,4,6,0.667,2.35,4.24,1,1,2,62,1,0,5
21900005,"Collin Sexton",37,2,9,0.222,3,6,0.5,1,1,1,2.26,4.29,1,3,4,58,1,0,2
21900005,"Larry Nance Jr.",42,3,6,0.5,1,5,0.2,1,2,0.5,2.01,4.21,7,16,21,59,0,0,2
21900005,"Matthew Dellavedova",40,0,0,0,2,6,0.333,0,0,0,1.36,4.23,0,3,3,48,0,0,3
21900005,"Jordan Clarkson",15,2,5,0.4,0,7,0,0,0,0,1.53,4.69,1,3,4,30,0,0,0
21900005,"Kevin Porter Jr.",13,0,2,0,0,4,0,3,3,1,1.33,4.41,2,1,3,19,0,0,2
21900005,"Tyler Cook",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21900005,"Brandon Knight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
