"typeResult","idGame","namePlayer","teamName","PARTIAL_POSS","SWITCHES_ON","ptsPlayerAllowed","dreb","MATCHUP_AST","MATCHUP_TOV","stl","blk","MATCHUP_FGM","MATCHUP_FGA","MATCHUP_FG_PCT","MATCHUP_FG3M","MATCHUP_FG3A","MATCHUP_FG3_PCT"
"player",21900019,"David Nwaba","Nets",20.41,0,6,2,0,0,0,0,2,3,0.667,2,2,1
"player",21900019,"Spencer Dinwiddie","Nets",37.38,0,8,2,2,2,0,1,2,7,0.286,1,2,0.5
"player",21900019,"Rodions Kurucs","Nets",17.97,0,0,3,0,2,1,0,0,4,0,0,0,0
"player",21900020,"Otto Porter Jr.","Bulls",30.66,0,11,2,3,2,1,0,4,7,0.571,1,3,0.333
"player",21900020,"Lauri Markkanen","Bulls",46.49,0,11,9,4,2,0,1,5,8,0.625,1,2,0.5
"player",21900020,"Wendell Carter Jr.","Bulls",38.22,0,9,5,2,1,2,1,3,13,0.231,0,1,0
"player",21900020,"Zach LaVine","Bulls",48.31,0,10,5,0,1,3,1,3,13,0.231,1,5,0.2
"player",21900020,"Tomas Satoransky","Bulls",32.2,0,7,0,2,3,4,1,2,5,0.4,1,1,1
"player",21900020,"Thaddeus Young","Bulls",32.33,0,13,1,2,1,1,0,5,16,0.313,2,6,0.333
"player",21900020,"Coby White","Bulls",44.88,0,16,6,3,2,0,0,7,10,0.7,2,3,0.667
"player",21900020,"Kris Dunn","Bulls",38.25,0,8,2,0,3,3,2,3,9,0.333,0,3,0
"player",21900020,"Ryan Arcidiacono","Bulls",21.79,0,5,3,3,0,0,0,2,2,1,1,1,1
"player",21900020,"Shaquille Harrison","Bulls",6.27,0,5,1,0,0,0,0,2,2,1,1,1,1
"player",21900020,"Luke Kornet","Bulls",12.78,0,5,2,1,1,0,1,2,4,0.5,0,0,0
"player",21900020,"Jae Crowder","Grizzlies",45.76,0,12,7,0,0,0,0,4,5,0.8,3,4,0.75
"player",21900020,"Jaren Jackson Jr.","Grizzlies",45.4,0,17,7,2,0,1,1,7,20,0.35,1,10,0.1
"player",21900020,"Jonas Valanciunas","Grizzlies",27.91,0,14,9,0,3,0,0,6,12,0.5,1,2,0.5
"player",21900020,"Dillon Brooks","Grizzlies",42.92,0,7,3,2,2,2,1,2,7,0.286,1,4,0.25
"player",21900020,"Ja Morant","Grizzlies",41.98,0,10,1,4,0,3,0,3,6,0.5,2,4,0.5
"player",21900020,"Brandon Clarke","Grizzlies",37.24,0,11,4,1,4,1,3,4,11,0.364,0,3,0
"player",21900020,"Tyus Jones","Grizzlies",28.13,0,5,3,0,1,0,0,2,7,0.286,1,5,0.2
"player",21900020,"Marko Guduric","Grizzlies",24.91,0,8,1,2,0,0,0,3,7,0.429,1,3,0.333
"player",21900020,"Grayson Allen","Grizzlies",26.6,0,8,1,1,1,0,0,3,5,0.6,1,1,1
"player",21900020,"Kyle Anderson","Grizzlies",29.63,0,6,5,1,1,1,1,3,10,0.3,0,5,0
"player",21900021,"Courtney Lee","Mavericks",9.07,0,8,0,1,0,0,0,3,3,1,2,2,1
"player",21900021,"Dorian Finney-Smith","Mavericks",33.62,0,15,3,5,1,1,0,6,12,0.5,3,8,0.375
"player",21900021,"Kristaps Porzingis","Mavericks",41.44,0,22,4,8,3,0,5,6,17,0.353,2,5,0.4
"player",21900021,"Jalen Brunson","Mavericks",42.19,0,11,4,3,1,0,0,5,7,0.714,1,2,0.5
"player",21900021,"Luka Doncic","Mavericks",55.14,0,8,9,4,1,2,0,4,12,0.333,0,5,0
"player",21900021,"Delon Wright","Mavericks",48.8,0,9,5,0,3,5,0,3,13,0.231,1,7,0.143
"player",21900021,"Tim Hardaway Jr.","Mavericks",31.89,0,11,1,0,0,0,0,4,9,0.444,3,5,0.6
"player",21900021,"Maxi Kleber","Mavericks",49.47,0,13,8,7,4,0,1,6,13,0.462,0,2,0
"player",21900021,"Justin Jackson","Mavericks",20.52,0,5,1,1,0,0,0,2,3,0.667,1,2,0.5
"player",21900021,"Seth Curry","Mavericks",24.69,0,14,2,1,0,0,1,6,8,0.75,2,3,0.667
"player",21900021,"Jrue Holiday","Pelicans",46.53,0,9,3,1,2,2,0,3,8,0.375,2,5,0.4
"player",21900021,"Brandon Ingram","Pelicans",44.04,0,18,6,2,1,0,3,7,17,0.412,1,3,0.333
"player",21900021,"Derrick Favors","Pelicans",30.82,0,16,4,2,2,0,0,7,14,0.5,1,7,0.143
"player",21900021,"JJ Redick","Pelicans",30.83,0,5,0,2,0,0,0,2,5,0.4,1,3,0.333
"player",21900021,"Lonzo Ball","Pelicans",46.53,0,25,7,6,0,2,0,9,14,0.643,4,7,0.571
"player",21900021,"Jahlil Okafor","Pelicans",8.82,0,2,2,1,0,0,0,0,2,0,0,2,0
"player",21900021,"Josh Hart","Pelicans",33.77,0,8,7,0,2,2,0,2,7,0.286,1,5,0.2
"player",21900021,"Kenrich Williams","Pelicans",27.88,0,14,5,3,1,0,0,5,8,0.625,1,2,0.5
"player",21900021,"Nickeil Alexander-Walker","Pelicans",18.07,0,9,1,0,1,0,0,3,5,0.6,1,2,0.5
"player",21900021,"Frank Jackson","Pelicans",18.04,0,0,0,3,1,0,0,0,3,0,0,1,0
"player",21900021,"Nicolo Melli","Pelicans",17.6,0,15,1,5,1,0,0,6,8,0.75,2,3,0.667
"player",21900022,"Isaac Bonga","Wizards",33.02,0,10,6,0,2,2,0,3,4,0.75,0,1,0
"player",21900022,"Rui Hachimura","Wizards",47.14,0,10,4,1,3,1,0,5,8,0.625,0,0,0
"player",21900022,"Thomas Bryant","Wizards",42.72,0,17,7,1,1,2,3,8,22,0.364,1,3,0.333
"player",21900022,"Bradley Beal","Wizards",46.47,0,14,6,1,0,1,1,5,14,0.357,2,9,0.222
"player",21900022,"Ish Smith","Wizards",43.74,0,14,2,4,4,1,0,5,6,0.833,1,2,0.5
"player",21900022,"Moritz Wagner","Wizards",25.42,0,8,6,2,2,0,1,4,14,0.286,0,1,0
"player",21900022,"Davis Bertans","Wizards",40.24,0,5,3,1,1,1,0,2,4,0.5,0,1,0
"player",21900022,"Chris Chiozza","Wizards",24.45,0,4,1,0,0,1,1,1,8,0.125,1,4,0.25
"player",21900022,"Garrison Mathews","Wizards",20.9,0,3,1,0,2,0,0,0,2,0,0,0,0
"player",21900022,"Admiral Schofield","Wizards",16.69,0,0,3,1,1,0,0,0,2,0,0,2,0
"player",21900022,"Terrance Ferguson","Thunder",30.92,0,13,2,1,1,0,1,5,12,0.417,3,4,0.75
"player",21900022,"Danilo Gallinari","Thunder",41.84,0,16,5,2,1,1,0,8,14,0.571,0,2,0
"player",21900022,"Steven Adams","Thunder",41.2,0,21,10,2,2,1,1,9,22,0.409,2,9,0.222
"player",21900022,"Shai Gilgeous-Alexander","Thunder",50.21,0,16,7,4,1,2,3,6,12,0.5,2,6,0.333
"player",21900022,"Chris Paul","Thunder",40.65,0,2,2,3,1,0,0,1,4,0.25,0,3,0
"player",21900022,"Hamidou Diallo","Thunder",26.76,0,2,4,2,1,1,0,1,6,0.167,0,4,0
"player",21900022,"Dennis Schroder","Thunder",37.81,0,0,4,1,3,1,1,0,3,0,0,1,0
"player",21900022,"Darius Bazley","Thunder",23.22,0,0,2,1,0,1,0,0,4,0,0,3,0
"player",21900022,"Abdel Nader","Thunder",19.01,0,9,1,1,0,0,0,3,5,0.6,3,5,0.6
"player",21900022,"Nerlens Noel","Thunder",11.97,0,11,1,0,1,0,0,4,7,0.571,1,1,1
"player",21900022,"Deonte Burton","Thunder",6.5,0,2,1,0,0,0,0,1,1,1,0,0,0
"player",21900022,"Mike Muscala","Thunder",16.06,0,3,3,2,4,0,0,0,4,0,0,1,0
"player",21900023,"Kelly Oubre Jr.","Suns",48.24,0,18,6,0,2,2,0,5,9,0.556,0,3,0
"player",21900023,"Dario Saric","Suns",41.87,0,10,6,4,1,0,0,4,13,0.308,2,4,0.5
"player",21900023,"Aron Baynes","Suns",39.83,0,28,3,4,6,1,0,10,19,0.526,1,2,0.5
"player",21900023,"Devin Booker","Suns",54.06,0,7,5,0,0,0,1,2,10,0.2,0,3,0
"player",21900023,"Ricky Rubio","Suns",48.73,0,15,8,2,1,2,0,5,7,0.714,1,2,0.5
"player",21900023,"Frank Kaminsky","Suns",42.29,0,2,10,1,1,0,0,0,13,0,0,3,0
"player",21900023,"Mikal Bridges","Suns",18.36,0,0,4,0,1,0,0,0,3,0,0,2,0
"player",21900023,"Jevon Carter","Suns",21.91,0,5,1,0,1,0,0,1,6,0.167,0,2,0
"player",21900023,"Cheick Diallo","Suns",2.28,0,2,0,0,0,0,0,1,1,1,0,0,0
"player",21900023,"Tyler Johnson","Suns",35.05,0,13,1,1,0,0,0,5,7,0.714,2,3,0.667
"player",21900023,"Will Barton","Nuggets",27.14,0,7,1,1,0,1,3,3,10,0.3,1,3,0.333
"player",21900023,"Paul Millsap","Nuggets",27.59,0,9,2,1,1,1,1,3,9,0.333,0,2,0
"player",21900023,"Nikola Jokic","Nuggets",50.94,0,29,11,5,3,1,2,10,18,0.556,3,7,0.429
"player",21900023,"Gary Harris","Nuggets",44.44,0,9,2,4,7,2,0,3,6,0.5,1,3,0.333
"player",21900023,"Jamal Murray","Nuggets",52.1,0,12,6,2,2,1,1,3,7,0.429,1,3,0.333
"player",21900023,"Jerami Grant","Nuggets",40.41,0,8,4,3,3,0,0,2,6,0.333,1,3,0.333
"player",21900023,"Torrey Craig","Nuggets",29.4,0,12,4,3,0,0,4,3,10,0.3,0,3,0
"player",21900023,"Malik Beasley","Nuggets",36.85,0,11,2,0,0,1,0,4,10,0.4,0,2,0
