"typeResult","idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","pctAST","pctOREB","pctDREB","pctTREB","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","cityTeam","isStarter","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","PACE_PER40","possessions","ratioPIE"
"player",21900002,"LAL","JaVale McGee","C",1610612747,201580,0,0.059,0.067,0.063,25,0.667,0.667,0.103,0.104,"Los Angeles",TRUE,17.35,93.1,97.1,96.6,91.9,-3.5,5.3,0,0,99.23,99.62,83.01,35,0.079
"player",21900002,"LAL","Danny Green","G",1610612747,201980,0,0.031,0.194,0.111,0,0.964,0.97,0.182,0.188,"Los Angeles",TRUE,32.3166666666667,107.8,110.3,104.7,101.5,3,8.8,0,0,99.89,100.24,83.54,68,0.267
"player",21900002,"LAL","Avery Bradley","G",1610612747,202340,0,0,0.136,0.067,22.2,0.571,0.571,0.17,0.171,"Los Angeles",TRUE,24.0333333333333,91.1,93.9,99.4,94,-8.4,-0.1,0,0,97.66,98.86,82.39,49,0.028
"player",21900002,"LAL","Kentavious Caldwell-Pope",NA,1610612747,203484,0.125,0,0.125,0.057,14.3,0,0,0.058,0.062,"Los Angeles",TRUE,27.4,114.3,111.9,134.7,125.4,-20.4,-13.6,3,42.9,98.68,103.38,86.15,59,-0.025
"player",21900002,"LAL","Dwight Howard",NA,1610612747,2730,0.059,0.143,0.2,0.167,0,0.333,0.436,0.068,0.069,"Los Angeles",TRUE,19.0333333333333,122.2,127.8,139.7,127,-17.5,0.8,0,25,89.88,92.05,76.71,36,0.038
"player",21900002,"LAL","Troy Daniels",NA,1610612747,203584,0.125,0,0,0,12.5,0.417,0.466,0.206,0.221,"Los Angeles",TRUE,16.2333333333333,88.1,84.4,134.4,129,-46.3,-44.7,1,12.5,89.3,93.14,77.62,32,0.018
"player",21900002,"LAL","Quinn Cook",NA,1610612747,1626188,0.167,0,0.071,0.029,10,0.286,0.286,0.182,0.191,"Los Angeles",TRUE,16.9333333333333,108.2,111.1,145.3,140,-37.1,-28.9,2,20,100.18,100.63,83.86,36,0.013
"player",21900002,"LAL","Jared Dudley",NA,1610612747,201162,0,0,0,0,0,1.5,1.5,0.065,0.067,"Los Angeles",TRUE,13.35,81.1,84,161.9,164,-80.8,-80,0,0,92.04,89.89,74.91,25,0.067
"player",21900002,"LAC","Kawhi Leonard","F",1610612746,202695,0.278,0.042,0.161,0.109,17.6,0.553,0.641,0.408,0.429,"LA",TRUE,31.55,119.8,113.6,113.2,107.7,6.6,5.9,0.83,14.7,94.66,99.65,83.04,66,0.168
"player",21900002,"LAC","Patrick Patterson","F",1610612746,202335,0,0.067,0.111,0.091,0,0.5,0.515,0.103,0.105,"LA",TRUE,17.4833333333333,108.7,105.6,109.9,114.3,-1.2,-8.7,0,0,97.96,97.46,81.22,36,0.025
"player",21900002,"LAC","Ivica Zubac","C",1610612746,1627826,0,0.143,0,0.063,0,1,1,0.2,0.196,"LA",TRUE,9.63333333333333,97.7,100,129.6,120,-31.9,-20,0,0,94.51,97.1,80.91,19,0.173
"player",21900002,"LAC","Landry Shamet","G",1610612746,1629013,0.095,0,0.115,0.063,0,0.5,0.5,0.133,0.141,"LA",TRUE,26.45,109.8,103.5,105.8,107.1,4,-3.6,0,20,100.23,102.55,85.46,57,0.073
"player",21900002,"LAC","Patrick Beverley","G",1610612746,201976,0.207,0.074,0.276,0.179,13.3,0.143,0.143,0.122,0.126,"LA",TRUE,31.35,125.5,120,98.6,100,26.9,20,3,40,98.04,99.51,82.93,65,0.048
"player",21900002,"LAC","Montrezl Harrell",NA,1610612746,1626149,0.148,0.056,0.122,0.091,14.3,0.636,0.585,0.193,0.2,"LA",TRUE,38.3666666666667,123.8,119.2,95.4,98.7,28.4,20.5,1.33,19,98.13,98.23,81.86,78,0.099
"player",21900002,"LAC","Lou Williams",NA,1610612746,101150,0.28,0.029,0.098,0.066,8,0.607,0.666,0.214,0.218,"LA",TRUE,36.7166666666667,123.8,121.6,99.2,102.7,24.6,19,3.5,28,98.22,97.38,81.15,74,0.195
"player",21900002,"LAC","JaMychal Green",NA,1610612746,203210,0,0.05,0.217,0.14,11.1,0.75,0.75,0.196,0.212,"LA",TRUE,19.2833333333333,109.3,100,90.8,87.8,18.5,12.2,0,0,96.06,102.08,85.07,41,0.147
"player",21900002,"LAC","Maurice Harkless",NA,1610612746,203090,0,0.069,0.063,0.066,0,0.714,0.714,0.106,0.11,"LA",TRUE,29.1666666666667,122.7,117.5,95.5,101.7,27.2,15.8,0,0,96.64,95.45,79.54,57,0.102
