"typeResult","idGame","slugTeam","namePlayer","groupStartPosition","idTeam","idPlayer","pctAST","pctOREB","pctDREB","pctTREB","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","cityTeam","isStarter","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","PACE_PER40","possessions","ratioPIE"
"player",21900066,"MIA","Bam Adebayo","F",1610612748,1628389,0.259,0.069,0.095,0.085,0,0.9,0.743,0.104,0.107,"Miami",TRUE,35.7166666666667,116.1,112.3,101.5,101.4,14.7,11,0,46.7,97.11,98.77,82.31,73,0.12
"player",21900066,"MIA","Meyers Leonard","C",1610612748,203086,0.105,0,0.308,0.186,0,0.75,0.735,0.216,0.222,"Miami",TRUE,25.4833333333333,134.3,130.6,95,95.8,39.3,34.8,0,15.4,90.45,91.35,76.13,49,0.165
"player",21900066,"MIA","Duncan Robinson","G",1610612748,1629130,0,0,0.111,0.053,9.1,0.6,0.6,0.169,0.177,"Miami",TRUE,26.9,108.7,105.4,114.7,110.7,-6,-5.4,0,0,96.65,99.93,83.28,56,0.078
"player",21900066,"MIA","Kendrick Nunn","G",1610612748,1629134,0,0,0.047,0.028,15,0.8,0.835,0.282,0.297,"Miami",TRUE,33.0666666666667,104.2,100,89.2,89.6,15.1,10.4,0,0,95.49,97.26,81.05,67,0.171
"player",21900066,"MIA","Goran Dragic",NA,1610612748,201609,0.176,0,0.05,0.025,25,0.2,0.34,0.191,0.192,"Miami",TRUE,19.4,119.6,122.5,107,109.8,12.6,12.7,1,25,102.68,100.21,83.51,40,-0.013
"player",21900066,"MIA","Tyler Herro",NA,1610612748,1629639,0.188,0.03,0.081,0.057,5,0.531,0.531,0.236,0.24,"Miami",TRUE,30.45,98.9,100,98.6,103.2,0.3,-3.2,3,15,101.39,98.52,82.1,63,0.13
"player",21900066,"MIA","Kelly Olynyk",NA,1610612748,203482,0.154,0.1,0.1,0.1,0,0.313,0.338,0.158,0.161,"Miami",TRUE,22,81.9,83.3,99.7,102,-17.8,-18.7,0,18.2,107.98,105.79,88.16,48,0.092
"player",21900066,"MIA","Chris Silva",NA,1610612748,1629735,0.167,0.118,0,0.067,14.3,0.6,0.6,0.188,0.195,"Miami",TRUE,11.8,93.2,96,89.7,91.7,3.4,4.3,1,14.3,102.29,99.69,83.07,25,0.117
"player",21900066,"ATL","De'Andre Hunter","F",1610612737,1629631,0.063,0.051,0.033,0.043,21.4,0.111,0.202,0.188,0.194,"Atlanta",TRUE,28.3833333333333,85.9,86,111.5,108.6,-25.6,-22.7,0.33,7.1,96.02,97.23,81.03,57,-0.024
"player",21900066,"ATL","John Collins","F",1610612737,1628381,0.05,0.05,0.147,0.095,13.3,0.455,0.505,0.171,0.175,"Atlanta",TRUE,33.0666666666667,97.3,98.5,100.4,101.5,-3.1,-3,0.5,6.7,98.37,97.26,81.05,67,0.088
"player",21900066,"ATL","Alex Len","C",1610612737,203458,0.167,0.071,0.2,0.138,25,0.5,0.5,0.219,0.221,"Atlanta",TRUE,14.1666666666667,83.8,85.7,118.4,113.8,-34.6,-28.1,0.5,12.5,95.75,96.56,80.47,28,0.028
"player",21900066,"ATL","Kevin Huerter","G",1610612737,1628989,0.077,0.031,0.13,0.073,0,0.389,0.389,0.148,0.155,"Atlanta",TRUE,25.9,94,92.3,122.2,120.4,-28.1,-28.1,0,10,96.59,98.22,81.85,52,0.041
"player",21900066,"ATL","Cam Reddish","G",1610612737,1629629,0.286,0,0.188,0.088,5.6,0.227,0.353,0.203,0.209,"Atlanta",TRUE,28.5333333333333,81.3,84.2,111.7,113.8,-30.4,-29.6,4,22.2,99.35,96.73,80.61,57,0.092
"player",21900066,"ATL","Jabari Parker",NA,1610612737,203953,0.154,0.1,0.192,0.143,5,0.692,0.696,0.29,0.298,"Atlanta",TRUE,25.4833333333333,101.1,101.9,102.8,100,-1.7,1.9,2,10,99.76,100.78,83.98,53,0.186
"player",21900066,"ATL","Vince Carter",NA,1610612737,1713,0,0,0.063,0.029,0,0.2,0.2,0.122,0.123,"Atlanta",TRUE,16.4666666666667,101.4,102.9,108,100,-6.7,2.9,0,0,98.99,102.02,85.02,35,-0.035
"player",21900066,"ATL","Tyrone Wallace",NA,1610612737,1627820,0.143,0,0.2,0.083,20,0.6,0.6,0.265,0.269,"Atlanta",TRUE,19.4666666666667,121.3,119.5,104.5,100,16.8,19.5,0.67,13.3,97,99.86,83.22,41,0.103
"player",21900066,"ATL","DeAndre' Bembry",NA,1610612737,1627761,0.471,0.194,0.154,0.175,14.8,0.667,0.615,0.264,0.267,"Atlanta",TRUE,28.3166666666667,101.4,105.1,104.2,101.7,-2.8,3.4,2,29.6,100.66,100.01,83.34,59,0.212
"player",21900066,"ATL","Bruno Fernando",NA,1610612737,1628981,0,0,0,0,0,0,0.568,0.091,0.095,"Atlanta",TRUE,3.83333333333333,106.4,114.3,156.3,185.7,-49.9,-71.4,0,0,99.13,87.61,73.01,7,0
"player",21900066,"ATL","Damian Jones",NA,1610612737,1627745,0,0.056,0.214,0.125,0,0.333,0.515,0.091,0.094,"Atlanta",TRUE,16.3833333333333,115,113.9,99.2,97.1,15.9,16.8,0,0,100.96,102.54,85.45,36,0.085
"player",21900067,"DEN","Torrey Craig","F",1610612743,1628470,0,0,0.125,0.063,20,0.25,0.25,0.116,0.117,"Denver",TRUE,19.5833333333333,107.9,110,118.1,116.7,-10.2,-6.7,0,0,100.79,100.49,83.74,40,-0.034
"player",21900067,"DEN","Paul Millsap","F",1610612743,200794,0,0.071,0.182,0.12,9.1,0.375,0.512,0.324,0.326,"Denver",TRUE,15.1833333333333,94.6,96.9,125.6,129,-31,-32.2,0,0,102.11,99.58,82.99,32,0.054
"player",21900067,"DEN","Nikola Jokic","C",1610612743,203999,0.353,0,0.261,0.128,13.3,0.833,0.888,0.153,0.154,"Denver",TRUE,27.1333333333333,95.6,96.5,122.3,126.8,-26.7,-30.3,3,40,102.22,99.95,83.29,57,0.167
"player",21900067,"DEN","Gary Harris","G",1610612743,203914,0,0,0.087,0.043,0,0.45,0.45,0.164,0.162,"Denver",TRUE,27.95,94,96.6,119.8,123.7,-25.8,-27.1,0,0,104.38,101.32,84.44,59,0.053
"player",21900067,"DEN","Jamal Murray","G",1610612743,1627750,0.375,0,0.136,0.067,13,0.464,0.485,0.298,0.296,"Denver",TRUE,26.2833333333333,97.3,100,117.8,122.2,-20.5,-22.2,2,26.1,102.78,99.53,82.94,55,0.1
"player",21900067,"DEN","Jerami Grant",NA,1610612743,203924,0,0.037,0.174,0.1,9.1,0.7,0.7,0.186,0.186,"Denver",TRUE,25.4666666666667,94.2,96.4,114.6,116.1,-20.4,-19.7,0,0,106.49,104.61,87.17,55,0.127
"player",21900067,"DEN","Michael Porter Jr.",NA,1610612743,1629008,0.063,0.043,0.176,0.1,7.7,0.688,0.705,0.222,0.231,"Denver",TRUE,20.8666666666667,115,117,117,114.9,-2,2.1,1,7.7,108.12,108.12,90.1,47,0.127
"player",21900067,"DEN","Malik Beasley",NA,1610612743,1627736,0.053,0,0.08,0.036,12.5,0.423,0.423,0.224,0.224,"Denver",TRUE,27.5666666666667,97.1,101.7,110.9,111.3,-13.8,-9.6,0.5,6.3,108.9,106.22,88.51,60,0.02
"player",21900067,"DEN","Monte Morris",NA,1610612743,1628420,0.471,0,0,0,0,0.45,0.45,0.179,0.187,"Denver",TRUE,21.7166666666667,105,106.1,114.2,114.3,-9.2,-8.2,0,44.4,108.92,108.3,90.25,49,0.112
"player",21900067,"DEN","Mason Plumlee",NA,1610612743,203486,0.1,0.105,0.385,0.219,30,0.8,0.85,0.22,0.228,"Denver",TRUE,15.45,101.4,100,108.1,105.6,-6.7,-5.6,0.33,10,109.79,111.84,93.2,36,0.159
"player",21900067,"DEN","Jarred Vanderbilt",NA,1610612743,1629020,0.143,0,0.25,0.125,0,0,0,0,0,"Denver",TRUE,5.41666666666667,123.1,133.3,109.4,108.3,13.6,25,0,100,110.24,106.34,88.62,12,0.074
"player",21900067,"DEN","Juancho Hernangomez",NA,1610612743,1627823,0,0,0,0,0,0,0,0.071,0.077,"Denver",TRUE,5.41666666666667,123.1,133.3,109.4,118.2,13.6,15.2,0,0,110.24,101.91,84.92,12,-0.037
"player",21900067,"DEN","Vlatko Cancar",NA,1610612743,1628427,0,0,0,0,0,0,0,0,0,"Denver",TRUE,1.96666666666667,100,80,75,75,25,5,0,0,97.63,109.83,91.53,5,0
"player",21900067,"NOP","Brandon Ingram","F",1610612740,1627742,0.227,0,0.094,0.049,12,0.667,0.742,0.244,0.252,"New Orleans",TRUE,35.5666666666667,114.9,116.9,99.9,104,15,12.9,1.67,20,105.54,102.57,85.47,77,0.148
"player",21900067,"NOP","Nicolo Melli","F",1610612740,1629740,0.167,0,0.235,0.121,11.1,0.5,0.595,0.167,0.176,"New Orleans",TRUE,18.5166666666667,113,112.5,90.3,85.4,22.7,27.1,2,22.2,101.88,104.99,87.49,40,0.12
"player",21900067,"NOP","Jahlil Okafor","C",1610612740,1626143,0.043,0,0.161,0.086,13,0.615,0.694,0.282,0.291,"New Orleans",TRUE,33.85,122.1,125,97.2,101.4,25,23.6,0.33,4.3,104.07,100.69,83.91,72,0.144
"player",21900067,"NOP","Jrue Holiday","G",1610612740,201950,0.389,0,0.185,0.091,7.7,0.559,0.559,0.26,0.271,"New Orleans",TRUE,31.85,110,110.1,100.5,104.4,9.4,5.7,3.5,26.9,105.31,103.23,86.03,69,0.143
"player",21900067,"NOP","Lonzo Ball","G",1610612740,1628366,0.333,0,0.1,0.058,16.7,0.643,0.643,0.139,0.14,"New Orleans",TRUE,31.65,123.6,128.4,98.6,101.5,25,26.9,2.67,44.4,105.8,102.37,85.31,67,0.102
"player",21900067,"NOP","Josh Hart",NA,1610612740,1628404,0.048,0.042,0.133,0.093,20,0.5,0.5,0.063,0.068,"New Orleans",TRUE,26.8666666666667,109.4,106.8,97.8,103.4,11.6,3.4,1,20,107.2,105.41,87.84,59,0.033
"player",21900067,"NOP","JJ Redick",NA,1610612740,200755,0.167,0,0.118,0.057,0,1.25,1.215,0.075,0.08,"New Orleans",TRUE,17.25,101.6,100,110.3,113.5,-8.7,-13.5,0,40,105.02,104.35,86.96,38,0.16
"player",21900067,"NOP","Nickeil Alexander-Walker",NA,1610612740,1629638,0.25,0.091,0.267,0.192,0,0,0,0.172,0.18,"New Orleans",TRUE,12.3333333333333,119.6,118.5,99.7,96.4,19.9,22.1,0,37.5,104.77,107.03,89.19,27,0.01
"player",21900067,"NOP","Jaxson Hayes",NA,1610612740,1629637,0,0,0.167,0.111,25,1,0.868,0.19,0.193,"New Orleans",TRUE,9.45,115.6,114.3,127.5,127.3,-11.9,-13,0,0,108.44,109.15,90.96,21,0.022
"player",21900067,"NOP","Frank Jackson",NA,1610612740,1628402,0,0,0.143,0.083,8.3,1,0.965,0.25,0.258,"New Orleans",TRUE,19.3,129.7,134.1,113.2,116.7,16.5,17.4,0,0,110.38,106.94,89.12,44,0.217
"player",21900067,"NOP","Kenrich Williams",NA,1610612740,1629026,0.5,0,0,0,0,0,0,0.125,0.127,"New Orleans",TRUE,3.36666666666667,101.7,100,58.1,57.1,43.6,42.9,0,50,98.09,99.8,83.17,7,-0.571
"player",21900068,"SAS","DeMar DeRozan","F",1610612759,201942,0.154,0,0.156,0.095,22.6,0.619,0.637,0.372,0.387,"San Antonio",TRUE,35.0833333333333,98.7,97.2,97,100,1.7,-2.8,0.29,6.5,99.28,98.49,82.07,72,0.19
"player",21900068,"SAS","LaMarcus Aldridge","F",1610612759,200746,0.13,0.032,0.098,0.069,20,0.25,0.282,0.158,0.16,"San Antonio",TRUE,35.6166666666667,91.7,91.5,99.6,105.6,-8,-14.1,1,20,98.5,95.67,79.72,71,-0.005
"player",21900068,"SAS","Trey Lyles","C",1610612759,1626168,0,0.154,0.125,0.138,0,1,1,0.074,0.074,"San Antonio",TRUE,12.8333333333333,83.1,83.3,103.4,100,-20.4,-16.7,0,0,88.47,89.81,74.84,24,0.226
"player",21900068,"SAS","Dejounte Murray","G",1610612759,1627749,0.167,0,0.25,0.137,16.7,0.4,0.524,0.208,0.213,"San Antonio",TRUE,23.1666666666667,76.2,74.5,97.2,102.1,-21,-27.7,1,16.7,98.79,97.38,81.15,47,0.16
"player",21900068,"SAS","Bryn Forbes","G",1610612759,1627854,0,0,0,0,11.1,0.5,0.533,0.153,0.153,"San Antonio",TRUE,24.9333333333333,76.8,77.8,108,111.5,-31.2,-33.8,0,0,104.38,102.03,85.03,54,0.013
"player",21900068,"SAS","Derrick White",NA,1610612759,1628401,0.125,0.08,0.103,0.093,5.9,0.682,0.733,0.227,0.235,"San Antonio",TRUE,24.8333333333333,110.9,112.7,101,100,9.9,12.7,2,11.8,106.7,106.31,88.59,55,0.216
"player",21900068,"SAS","Rudy Gay",NA,1610612759,200752,0.235,0.069,0.313,0.197,5.9,0.35,0.383,0.194,0.203,"San Antonio",TRUE,26.1,95.1,95,98.3,101.7,-3.2,-6.7,4,23.5,111.23,109.43,91.19,60,0.145
"player",21900068,"SAS","Patty Mills",NA,1610612759,201988,0.056,0,0.04,0.022,25,0.625,0.615,0.125,0.128,"San Antonio",TRUE,22.1833333333333,115.9,117.4,94.4,91.7,21.5,25.7,0.5,12.5,100.83,101.7,84.75,46,0
"player",21900068,"SAS","Jakob Poeltl",NA,1610612759,1627751,0.111,0.118,0.125,0.121,14.3,0.5,0.512,0.162,0.167,"San Antonio",TRUE,12.3833333333333,103.4,106.7,97.9,90.3,5.5,16.3,1,14.3,115.49,118.29,98.57,30,0.075
"player",21900068,"SAS","Marco Belinelli",NA,1610612759,201158,0,0,0.125,0.061,14.3,0.167,0.167,0.159,0.169,"San Antonio",TRUE,17.8833333333333,103.9,100,96.8,92.3,7.2,7.7,0,0,100.28,104.68,87.23,39,-0.055
"player",21900068,"SAS","Lonnie Walker IV",NA,1610612759,1629022,0,0,0.286,0.167,0,0,0,0.077,0.084,"San Antonio",TRUE,4.98333333333333,75.8,69.2,95.9,107.1,-20.2,-37.9,0,0,132.54,130.03,108.36,13,-0.087
"player",21900068,"LAC","Kawhi Leonard","F",1610612746,202695,0.083,0.119,0.2,0.156,10.3,0.5,0.548,0.442,0.464,"LA",TRUE,34.1166666666667,101.5,100,87.1,87.1,14.4,12.9,0.25,2.6,99.86,100.6,83.83,73,0.331
"player",21900068,"LAC","Patrick Patterson","F",1610612746,202335,0.133,0.167,0.278,0.214,12.5,0,0,0.136,0.136,"LA",TRUE,18.9,99.8,102.8,82.9,83.8,16.9,19,2,25,94.58,92.7,77.25,36,0.084
"player",21900068,"LAC","Ivica Zubac","C",1610612746,1627826,0,0,0.313,0.132,0,0.667,0.773,0.1,0.102,"LA",TRUE,16.8166666666667,99.8,100,86.1,87.5,13.7,12.5,0,0,93.62,92.77,77.3,33,0.163
"player",21900068,"LAC","Landry Shamet","G",1610612746,1629013,0.118,0,0,0,0,0.313,0.394,0.148,0.156,"LA",TRUE,25.6333333333333,100.5,98.1,95.9,98,4.7,0.1,0,18.2,97.24,97.35,81.12,53,0.014
"player",21900068,"LAC","Patrick Beverley","G",1610612746,201976,0.238,0,0.138,0.059,0,0.5,0.508,0.107,0.109,"LA",TRUE,32.35,93.5,95.4,101.3,103.1,-7.7,-7.7,0,38.5,97.51,95.7,79.75,65,0.094
"player",21900068,"LAC","Lou Williams",NA,1610612746,101150,0.217,0,0.069,0.031,7.4,0.289,0.302,0.272,0.278,"LA",TRUE,32.1833333333333,98.3,98.6,100.7,101.4,-2.4,-2.8,2.5,18.5,106.46,105.92,88.27,73,0.01
"player",21900068,"LAC","JaMychal Green",NA,1610612746,203210,0,0,0.348,0.163,0,0,0,0.052,0.054,"LA",TRUE,21.6333333333333,102.9,103.8,98.8,100,4.1,3.8,0,0,114.36,113.16,94.3,52,0.063
"player",21900068,"LAC","Montrezl Harrell",NA,1610612746,1626149,0.059,0.029,0.094,0.06,16.7,0.818,0.802,0.221,0.224,"LA",TRUE,31.0833333333333,98.9,101.4,97.8,98.5,1,2.9,0.33,5.6,107.56,105.8,88.16,69,0.175
"player",21900068,"LAC","Maurice Harkless",NA,1610612746,203090,0,0.043,0.087,0.065,16.7,1,0.84,0.111,0.121,"LA",TRUE,19.9833333333333,96.2,91.5,94.2,93.3,2,-1.8,0,0,107.32,110.54,92.12,47,0.085
"player",21900068,"LAC","Rodney McGruder",NA,1610612746,203585,0,0,0,0,0,0,0,0,0,"LA",TRUE,7.31666666666667,105.1,105.6,105.5,105.3,-0.4,0.3,0,0,121.53,121.39,101.16,18,0
"player",21900069,"HOU","Danuel House Jr.","F",1610612745,1627863,0,0.027,0.148,0.078,9.1,0.75,0.75,0.134,0.137,"Houston",TRUE,31.6833333333333,105.2,106.7,124.6,118.4,-19.4,-11.8,0,0,112.32,114.38,95.32,75,0.077
"player",21900069,"HOU","P.J. Tucker","F",1610612745,200782,0.037,0.068,0.152,0.104,18.2,0.563,0.563,0.11,0.115,"Houston",TRUE,34.85,96.6,94,126.3,121.7,-29.6,-27.7,0.5,9.1,110.68,114.32,95.27,83,0.062
"player",21900069,"HOU","Clint Capela","C",1610612745,203991,0,0,0.25,0.098,11.1,0.625,0.625,0.176,0.181,"Houston",TRUE,19.6666666666667,81.5,80.9,133.8,137,-52.3,-56.1,0,0,114.37,113.49,94.58,47,0.078
"player",21900069,"HOU","James Harden","G",1610612745,201935,0.444,0.043,0.083,0.061,9.8,0.355,0.479,0.457,0.466,"Houston",TRUE,36.65,96.2,97.6,116.3,114.3,-20.1,-16.7,1.6,15.7,109.88,110.01,91.68,84,0.119
"player",21900069,"HOU","Russell Westbrook","G",1610612745,201566,0.4,0,0.206,0.083,5.4,0.5,0.504,0.296,0.308,"Houston",TRUE,36.4,98.8,97.7,116.8,113.5,-18,-15.8,4,21.6,114.38,116.7,97.25,88,0.162
"player",21900069,"HOU","Eric Gordon",NA,1610612745,201569,0.036,0,0.037,0.016,0,0,0.171,0.117,0.118,"Houston",TRUE,28.5,109.3,114.7,109,102.9,0.3,11.8,0,10,114.96,115.37,96.14,68,-0.023
"player",21900069,"HOU","Tyson Chandler",NA,1610612745,2199,0,0.158,0.357,0.242,0,0,0,0,0,"Houston",TRUE,14.75,117.1,114.3,84.2,87.1,32.9,27.2,0,0,107.78,107.39,89.49,35,0.146
"player",21900069,"HOU","Ben McLemore",NA,1610612745,203463,0.071,0,0.045,0.02,14.3,0.75,0.846,0.103,0.109,"Houston",TRUE,21.3333333333333,108.2,110.2,78.7,80,29.4,30.2,1,14.3,107.6,105.75,88.13,49,0.12
"player",21900069,"HOU","Austin Rivers",NA,1610612745,203085,0.167,0,0.063,0.028,0,0.583,0.543,0.136,0.145,"Houston",TRUE,16.1666666666667,114.9,115.8,84.9,83.3,30,32.5,0,25,109.26,109.86,91.55,38,0.08
"player",21900069,"BKN","Joe Harris","F",1610612751,203925,0.074,0.063,0.163,0.12,7.7,0.722,0.759,0.12,0.125,"Brooklyn",TRUE,34.0333333333333,113.7,110.7,99.3,98.8,14.4,11.9,2,15.4,115.26,117.09,97.58,84,0.126
"player",21900069,"BKN","Taurean Prince","F",1610612751,1627752,0.043,0.032,0.262,0.164,4.8,0.706,0.72,0.227,0.235,"Brooklyn",TRUE,34.4166666666667,125.4,124.1,99.7,101.3,25.7,22.8,1,4.8,110.43,110.18,91.82,79,0.176
"player",21900069,"BKN","Jarrett Allen","C",1610612751,1628386,0.038,0.067,0.195,0.141,25,1,0.735,0.086,0.09,"Brooklyn",TRUE,31.0166666666667,118.4,115.1,78.5,76.4,39.9,38.7,0.5,12.5,109.06,112.19,93.49,73,0.1
"player",21900069,"BKN","Caris LeVert","G",1610612751,1627747,0.19,0.031,0.071,0.054,17.9,0.567,0.659,0.276,0.292,"Brooklyn",TRUE,32.2166666666667,118.5,112.7,94.9,92.2,23.6,20.5,0.8,14.3,111.71,116.21,96.84,79,0.118
"player",21900069,"BKN","Kyrie Irving","G",1610612751,202681,0.435,0,0.089,0.053,16.7,0.528,0.557,0.289,0.297,"Brooklyn",TRUE,34.4833333333333,111.4,110.8,96.1,97.6,15.4,13.2,1.67,27.8,116.87,116.23,96.86,83,0.101
"player",21900069,"BKN","Garrett Temple",NA,1610612751,202066,0.188,0.037,0.24,0.135,0,0.889,0.889,0.138,0.146,"Brooklyn",TRUE,24.0666666666667,119,114,110.8,108.9,8.2,5.1,0,25,109.35,112.7,93.92,57,0.246
"player",21900069,"BKN","Dzanan Musa",NA,1610612751,1629058,0,0,0,0,100,0,0,0.2,0.202,"Brooklyn",TRUE,4.41666666666667,11.3,11.1,146.1,180,-134.8,-168.9,0,0,115.2,103.25,86.04,9,-0.19
"player",21900069,"BKN","DeAndre Jordan",NA,1610612751,201599,0.273,0.133,0.25,0.2,0,0.4,0.475,0.15,0.155,"Brooklyn",TRUE,16.2833333333333,95.1,94.4,133,147.2,-38,-52.8,0,33.3,111.43,106.12,88.43,36,0.118
"player",21900069,"BKN","Spencer Dinwiddie",NA,1610612751,203915,0.154,0,0.04,0.023,16.7,0.286,0.317,0.204,0.22,"Brooklyn",TRUE,19.8,98.7,90.7,116.2,117.8,-17.5,-27.1,1,16.7,103.18,106.67,88.89,43,-0.035
"player",21900069,"BKN","Rodions Kurucs",NA,1610612751,1629066,0,0.2,0,0.05,33.3,0,0,0.143,0.148,"Brooklyn",TRUE,9.28333333333333,103.5,100,106,118.2,-2.5,-18.2,0,0,113.44,108.68,90.57,20,-0.115
"player",21900070,"CLE","Cedi Osman","F",1610612739,1626224,0.04,0,0.085,0.042,9.1,0.5,0.563,0.108,0.11,"Cleveland",TRUE,37.5833333333333,93.1,96.5,90.6,89.4,2.6,7.1,1,9.1,110.5,109.2,91,86,0.083
"player",21900070,"CLE","Kevin Love","F",1610612739,201567,0.267,0.022,0.39,0.195,21.4,0.594,0.619,0.276,0.284,"Cleveland",TRUE,34.95,80.9,85.7,97.5,93.6,-16.7,-7.9,0.67,14.3,107.44,106.45,88.71,77,0.228
"player",21900070,"CLE","Tristan Thompson","C",1610612739,202684,0.19,0.029,0.195,0.118,0,0.375,0.394,0.122,0.125,"Cleveland",TRUE,31.4666666666667,98.3,101.5,84.9,85.5,13.5,16,0,30.8,106.54,104.49,87.08,68,0.084
"player",21900070,"CLE","Collin Sexton","G",1610612739,1629012,0.1,0,0.071,0.034,0,0.476,0.48,0.236,0.239,"Cleveland",TRUE,37.3666666666667,98.9,102.4,100.6,98.8,-1.7,3.6,0,8.7,106.88,105.98,88.31,82,0.081
"player",21900070,"CLE","Darius Garland","G",1610612739,1629636,0.176,0,0.029,0.016,0,0,0.085,0.185,0.198,"Cleveland",TRUE,25.5166666666667,92.3,93.1,91.3,91.2,1,1.9,0,20,108.58,108.16,90.14,58,-0.067
"player",21900070,"CLE","Jordan Clarkson",NA,1610612739,203903,0.455,0,0.063,0.03,9.1,0.542,0.663,0.25,0.259,"Cleveland",TRUE,27.0666666666667,77.4,78.1,95,93.5,-17.6,-15.4,2.5,22.7,111.4,111.72,93.1,64,0.219
"player",21900070,"CLE","Larry Nance Jr.",NA,1610612739,1626204,0.077,0.031,0.133,0.081,25,0.429,0.508,0.169,0.178,"Cleveland",TRUE,26.1,75.8,75.4,105.9,103.4,-30.1,-28,0.33,8.3,108.8,110.34,91.95,61,0.052
"player",21900070,"CLE","Brandon Knight",NA,1610612739,202688,0,0,0,0,25,0,0,0.267,0.286,"Cleveland",TRUE,6.05,14.3,15.4,92.3,92.3,-78,-76.9,0,0,107.11,103.14,85.95,13,-1.429
"player",21900070,"CLE","Kevin Porter Jr.",NA,1610612739,1629645,0,0,0.267,0.129,50,0.75,0.868,0.171,0.185,"Cleveland",TRUE,13.9,66.9,65.6,112.7,112.1,-45.8,-46.5,0,0,110.88,112.19,93.49,32,0.054
"player",21900070,"IND","T.J. Warren","F",1610612754,203933,0,0.029,0.053,0.041,0,0.125,0.169,0.122,0.126,"Indiana",TRUE,27.8333333333333,90.1,88.9,86.5,90.5,3.6,-1.6,0,0,110.41,108.62,90.52,63,-0.061
"player",21900070,"IND","TJ Leaf","F",1610612754,1628388,0,0.125,0.25,0.188,0,0,0,0.174,0.182,"Indiana",TRUE,8.05,100,100,121.8,127.8,-21.8,-27.8,0,0,109.95,107.33,89.44,18,-0.064
"player",21900070,"IND","Domantas Sabonis","C",1610612754,1627734,0.182,0.07,0.286,0.185,9.5,0.6,0.6,0.181,0.186,"Indiana",TRUE,37.2833333333333,98,97.6,92.6,96.4,5.4,1.2,2,19,108.12,106.21,88.51,82,0.192
"player",21900070,"IND","Jeremy Lamb","G",1610612754,203087,0.048,0.023,0.22,0.118,5.6,0.577,0.671,0.183,0.188,"Indiana",TRUE,34.85,97.1,96.3,103.8,106.3,-6.7,-10,1,5.6,111.76,110.88,92.4,81,0.166
"player",21900070,"IND","Malcolm Brogdon","G",1610612754,1627763,0.333,0.05,0.136,0.095,16.1,0.531,0.64,0.291,0.301,"Indiana",TRUE,33.0333333333333,92.9,91.9,90.7,93.2,2.2,-1.4,1.2,19.4,108.4,107.53,89.61,74,0.213
"player",21900070,"IND","JaKarr Sampson",NA,1610612754,203960,0,0.059,0,0.03,0,0.286,0.286,0.241,0.253,"Indiana",TRUE,10.3666666666667,77.1,76,78,80,-0.9,-4,0,0,116.4,115.76,96.46,25,-0.062
"player",21900070,"IND","Aaron Holiday",NA,1610612754,1628988,0.167,0,0,0,0,0,0,0.235,0.25,"Indiana",TRUE,6.35,85.7,80,25,28.6,60.7,51.4,0,20,113.39,109.61,91.34,15,-0.2
"player",21900070,"IND","Justin Holiday",NA,1610612754,203200,0.077,0,0.148,0.071,12.5,0.667,0.667,0.123,0.127,"Indiana",TRUE,22.95,91.7,88.5,72.8,76.5,18.9,12,1,12.5,108.51,107.71,89.76,52,0.184
"player",21900070,"IND","T.J. McConnell",NA,1610612754,204456,0.545,0,0,0,0,0.5,0.563,0.111,0.111,"Indiana",TRUE,14.9666666666667,102.8,103,74.4,76.5,28.4,26.6,0,60,109.11,107.44,89.53,33,0.176
"player",21900070,"IND","Doug McDermott",NA,1610612754,203926,0.083,0,0.087,0.043,7.1,0.333,0.333,0.277,0.282,"Indiana",TRUE,19.4,97.4,95.3,66.1,65.9,31.3,29.4,1,7.1,106.29,107.63,89.69,43,0
"player",21900070,"IND","Goga Bitadze",NA,1610612754,1629048,0,0.167,0.222,0.196,25,0.5,0.571,0.207,0.211,"Indiana",TRUE,24.9166666666667,111.6,109.4,82.9,82.7,28.7,26.7,0,0,100.01,101.16,84.3,53,0.099
"player",21900071,"MIL","Khris Middleton","F",1610612749,203114,0,0.056,0.278,0.167,18.2,0.889,0.889,0.25,0.246,"Milwaukee",TRUE,20.3833333333333,98.5,100,110.1,111.4,-11.5,-11.4,0,0,103.8,102.44,85.36,43,0.172
"player",21900071,"MIL","Giannis Antetokounmpo","F",1610612749,203507,0.286,0.069,0.333,0.215,21.2,0.656,0.696,0.37,0.362,"Milwaukee",TRUE,30.2666666666667,118.3,121.2,91.9,89.7,26.5,31.5,0.86,18.2,106.24,106.24,88.53,66,0.252
"player",21900071,"MIL","Brook Lopez","C",1610612749,201572,0.036,0,0,0,0,0.214,0.214,0.111,0.108,"Milwaukee",TRUE,25.25,122.5,125.9,97.1,94.8,25.4,31,0,12.5,110.49,110.26,91.88,58,-0.035
"player",21900071,"MIL","Wesley Matthews","G",1610612749,202083,0,0,0,0,0,0,0,0.023,0.022,"Milwaukee",TRUE,19.6,105.7,107,106.8,104.8,-1.1,2.2,0,0,103.74,104.08,86.73,43,-0.036
