Codigo,Foto_atual_2018,Categoria,Descricao,Quantidade,Local,Sublocal,Tecido,Eletricista,Cristais,Obs,Dimensao,Reconferencia,Arquivo
001-0001,https://i.imgur.com/M5SdKgU.png,Abajur,ABADJUR ANTIGO DOURADO (GIGA),2,Loja,Area Da Entrada,0,1,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_ABAJUR
001-0002,https://i.imgur.com/Yol6ceE.png,Abajur,ABADJUR BEGE COM DESENHO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0003,https://i.imgur.com/mrzUINR.png,Abajur,ABADJUR BRONZE HOMEM E MULHER,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0004,https://i.imgur.com/aleNQat.png,Abajur,ABADJUR COM BASE DE VIDRO CÚPULA PRETA,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0005,https://i.imgur.com/GK1vs2Y.png,Abajur,ABADJUR COM BASE FINA CROMADO E PÉ ESPELHADO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0006,https://i.imgur.com/AbF8Ey8.png,Abajur,ABADJUR DE CRISTAL DA LINHA OURO,2,Loja,Area Da Entrada,0,1,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_ABAJUR
001-0007,https://i.imgur.com/SEfZgOO.png,Abajur,ABADJUR DE FERRO CINZA CÚPULA PRETA,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0008,https://i.imgur.com/GNkn8WW.png,Abajur,ABADJUR DE FERRO PRETO COM CÚPULA BEGE,2,Loja,Deposito,0,1,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0009,https://i.imgur.com/f11uCyB.png,Abajur,ABADJUR DE FERRO PRETO VAZADO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0010,https://i.imgur.com/DkPiWfO.png,Abajur,ABADJUR DE METAL GG,1,Loja,Area Da Entrada,0,1,0,"FICA NA LOJA, SALA COMERCIAL",NA,NA,CATALOGO_ABAJUR
001-0011,https://i.imgur.com/VyKAmUF.png,Abajur,ABADJUR GALHO DE ÁRVORE RETANGULAR,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0012,https://i.imgur.com/RHXdMlV.png,Abajur,ABADJUR GORDINHO VERDE COM DESENHO,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0013,https://i.imgur.com/vXQ92Jd.png,Abajur,ABADJUR PHILIPPE STARCK PRETO,1,Loja,Deposito,0,1,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0014,https://i.imgur.com/junBPvX.png,Abajur,ABADJUR PHILIPPE STARCK TRANSPARENTE,1,Loja,Deposito,0,1,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
001-0015,https://i.imgur.com/HozlIrT.png,Abajur,ABADJUR PRATA COM CÚPULA DE CRISTAL QUADRADA,12,Loja,Deposito,0,1,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ABAJUR
002-0001,https://i.imgur.com/lSDXFBj.png,Aparador,APARADOR BAIXO DO PÉ DE FERRO BEGE,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0002,https://i.imgur.com/kiWJcTa.png,Aparador,APARADOR BAIXO DO PÉ DE FERRO BRANCO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0003,https://i.imgur.com/Vv0ppqy.png,Aparador,APARADOR BAIXO DO PÉ DE FERRO GRAFITE,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0004,https://i.imgur.com/zR0uo9o.png,Aparador,APARADOR CINZA DO PÉ CROMADO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0005,NA,Aparador,APARADOR DE MADEIRA PÉ DE FERRO MARROM,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_APARADOR
002-0006,https://i.imgur.com/4cMztP3.png,Aparador,APARADOR DE MADEIRA PÉ DE FERRO PRETO DA ART FACTO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0007,https://i.imgur.com/6EwpkUS.png,Aparador,APARADOR DE MADEIRA PRETO COM RODINHA - LOJA,1,Loja,Deposito,0,0,0,"FICA NA LOJA, 001 NO GALPÃO E 001 SALA DO ALBERTO SERRUYA",NA,NA,CATALOGO_APARADOR
002-0008,https://i.imgur.com/6EwpkUS.png,Aparador,APARADOR DE MADEIRA PRETO COM RODINHA - SALA ALBERTO,1,Loja,Sala Do Alberto Serruya,0,0,0,"FICA NA LOJA, 001 NO GALPÃO E 001 SALA DO ALBERTO SERRUYA",NA,NA,CATALOGO_APARADOR
002-0009,https://i.imgur.com/XdY9p6k.png,Aparador,APARADOR DO MÁRMORE FAKE,2,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_APARADOR
002-0010,https://i.imgur.com/40EaZKq.png,Aparador,APARADOR DO TAMPO DE VIDRO MARROM E PÉ CROMADO - AREA DO GALPAO,1,Loja,Deposito,0,0,0,"FICAM NA LOJA, 001 NO GALPÃO E 001 NA SALA DA SILVIA",NA,NA,CATALOGO_APARADOR
002-0011,https://i.imgur.com/40EaZKq.png,Aparador,APARADOR DO TAMPO DE VIDRO MARROM E PÉ CROMADO - SALA DA SILVIA,1,Loja,Setor Comercial,0,0,0,"FICAM NA LOJA, 001 NO GALPÃO E 001 NA SALA DA SILVIA",NA,NA,CATALOGO_APARADOR
002-0012,https://i.imgur.com/V5OjsFK.png,Aparador,APARADOR DOURADO ARABESCO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0013,https://i.imgur.com/gEkynMj.png,Aparador,APARADOR DOURADO BONITÃO,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_APARADOR
002-0014,https://i.imgur.com/BLebmCl.png,Aparador,APARADOR DOURADO DA MESA,2,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_APARADOR
002-0015,https://i.imgur.com/mbhRKrD.png,Aparador,APARADOR DOURADO RETO,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_APARADOR
002-0016,https://i.imgur.com/09sjQvO.png,Aparador,APARADOR DRÁCULA PRATA,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_APARADOR
002-0017,NA,Aparador,APARADOR ESPELHADO,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_APARADOR
002-0018,https://i.imgur.com/fIL99jQ.png,Aparador,APARADOR ESPELHADO DO PÉ CROMADO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0019,https://i.imgur.com/lHngFjn.png,Aparador,APARADOR ESPELHADO PRETO DO PÉ CROMADO,2,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_APARADOR
002-0020,https://i.imgur.com/lHwXvxD.png,Aparador,APARADOR LARANJA,1,Loja,Setor Comercial,0,0,0,"FICA NA LOJA, ÁREA DA COPA",NA,NA,CATALOGO_APARADOR
002-0021,https://i.imgur.com/uH1ZtVW.png,Aparador,APARADOR MARIZA PRADO MAIOR,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_APARADOR
002-0022,https://i.imgur.com/UPXPp6C.png,Aparador,APARADOR MARIZA PRADO MENOR,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_APARADOR
002-0023,https://i.imgur.com/pbkEywF.png,Aparador,APARADOR MARROM DO PÉ CROMADO,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_APARADOR
002-0024,https://i.imgur.com/Kya94QY.png,Aparador,APARADOR PÉ DE FERRO BRANCO P DA ART FACTO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0025,https://i.imgur.com/yGQcYtW.png,Aparador,APARADOR PRANCHA PRETO,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_APARADOR
002-0026,https://i.imgur.com/Nl0IxnC.png,Aparador,APARADOR PRATA ARABESCO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0027,NA,Aparador,APARADOR PRETO,1,Maison Blue,Maison Blue,0,0,0,FIXO DO BLUE,NA,NA,CATALOGO_APARADOR
002-0028,https://i.imgur.com/de5wAoo.png,Aparador,APARADOR PROVENÇAL DOURADO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_APARADOR
002-0029,https://i.imgur.com/1Q3Wbh9.png,Aparador,APARADOR RÚSTICO DO PÉ DE FERRO,4,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_APARADOR
003-0001,https://i.imgur.com/dTmy6qw.png,Armario,ARMÁRIO ANTIGO DE MADEIRA COM LATERAIS DE VIDRO,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, SALA DE REUNIÕES DO SETOR DE DECORAÇÃO",NA,NA,CATALOGO_ARMARIO
003-0002,https://i.imgur.com/3bfGvw0.png,Armario,ARMÁRIO BAIXO ROSÊ ESPELHADO - SALA DE REUNIOES,1,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, 001 NA SALA DE REUNIÕES E 001 NA CAIXA",NA,NA,CATALOGO_ARMARIO
003-0003,https://i.imgur.com/3bfGvw0.png,Armario,ARMÁRIO BAIXO ROSÊ ESPELHADO - CAIXA,1,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, 001 NA SALA DE REUNIÕES E 001 NA CAIXA",NA,NA,CATALOGO_ARMARIO
003-0004,https://i.imgur.com/pmZ4INI.png,Armario,ARMÁRIO BRANCO LARGO COM PRATELEIRAS DE VIDRO,2,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ARMARIO
003-0005,https://i.imgur.com/nxFkzV8.png,Armario,ARMÁRIO PROVENÇAL LARGO PRETO,2,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ARMARIO
003-0006,https://i.imgur.com/Oi3U8mD.png,Armario,ARMÁRIO VAZADO ESTREITO BRANCO,4,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ARMARIO
003-0007,https://i.imgur.com/xjKxVhw.png,Armario,ARMÁRIO VAZADO ESTREITO DOURADO,2,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_ARMARIO
003-0008,https://i.imgur.com/zPBhiHH.png,Armario,ARMÁRIO VAZADO ESTREITO PRETO,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ARMARIO
004-0001,https://i.imgur.com/NO9xS81.png,Cadeira,CADEIRA DE FERRO BRANCA VAZADA,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_CADEIRA
004-0002,https://i.imgur.com/xFVdkbI.png,Cadeira,CADEIRA DOURADA DO CONJUNTO DO IRMÃO,2,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CADEIRA
004-0003,https://i.imgur.com/RSD7FXJ.png,Cadeira,CADEIRA DOURADA E BEGE RAINHA DE COPAS,4,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA VITRINE",NA,NA,CATALOGO_CADEIRA
004-0004,https://i.imgur.com/fkQ9cvK.png,Cadeira,CADEIRA GRAFITE DO PÉ CROMADO FINO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_CADEIRA
004-0005,https://i.imgur.com/r6LPSFs.png,Cadeira,CADEIRA IMPERIAL TRANSPARENTE,20,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_CADEIRA
004-0006,https://i.imgur.com/LOwn6Tn.png,Cadeira,CADEIRA MEDALHÃO DOURADA E BEGE,8,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CADEIRA
004-0007,https://i.imgur.com/dX5P53M.png,Cadeira,CADEIRA MEDALHÃO DOURADA E MARROM,1,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CADEIRA
004-0008,https://i.imgur.com/15me7pV.png,Cadeira,CADEIRA MEDALHÃO PRATA,6,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CADEIRA
004-0009,https://i.imgur.com/6gmsbEH.png,Cadeira,CADEIRA PRATA E VERMELHA NOVA,10,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_CADEIRA
004-0010,https://i.imgur.com/KFM1t9x.png,Cadeira,CADEIRA VAZADA DE MADEIRA MARROM,2,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CADEIRA
004-0011,https://i.imgur.com/kPhXqrq.png,Cadeira,CADEIRA VINHO DO PÉ CROMADO,2,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_CADEIRA
005-0001,https://i.imgur.com/cHEVWXd.png,Canape,CANAPÉ DOURADO E CAFÉ COM LEITE,3,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CANAPE
005-0002,https://i.imgur.com/lS3hf3Z.png,Canape,CANAPÉ DOURADO E CINZA,2,Loja,Area Da Entrada,0,0,0,NA,NA,NA,CATALOGO_CANAPE
006-0001,https://i.imgur.com/H4ellsa.png,Comoda,CÔMODA DONQUERQUE DE 4 GAVETAS COM MÁRMORE BRANCO,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_COMODA
006-0002,https://i.imgur.com/35lGYao.png,Comoda,CÔMODA DONQUERQUE DE 4 GAVETAS COM MÁRMORE VERDE,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_COMODA
006-0003,https://i.imgur.com/Sqj43si.png,Comoda,CÔMODA ESPELHADA VENEZIANA COM 3 GAVETAS,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_COMODA
006-0004,https://i.imgur.com/XD3DK90.png,Comoda,CÔMODA ESPELHADA VENEZIANA ESTREIRA,2,Loja,Deposito,0,0,0,"FICAM NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_COMODA
006-0005,https://i.imgur.com/R0Xo2Eo.png,Comoda,CÔMODA PRETA ESPELHADA,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_COMODA
007-0001,https://i.imgur.com/uC0iWr4.png,Cristaleira,CRISTALEIRA ALTA COM 1 GAVETA,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CRISTALEIRA
007-0002,https://i.imgur.com/Gx1XeUI.png,Cristaleira,CRISTALEIRA ANTIGA LUIS XV COM 2 GAVETAS,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CRISTALEIRA
007-0003,https://i.imgur.com/NObiOae.png,Cristaleira,CRISTALEIRA ARPA ALTA,2,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CRISTALEIRA
007-0004,https://i.imgur.com/d3lVctT.png,Cristaleira,CRISTALEIRA ARPA BAIXA,4,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CRISTALEIRA
007-0005,https://i.imgur.com/InVptRW.png,Cristaleira,CRISTALEIRA BRANCA COM PRATELEIRAS DE VIDRO,1,Loja,Deposito,0,0,0,"FICA NA LOJA, ÁREA DO GALPÃO",NA,NA,CATALOGO_CRISTALEIRA
007-0006,https://i.imgur.com/LBGFicV.png,Cristaleira,CRISTALEIRA DONQUERQUE COM 1 PORTA - ENTRADA,1,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, 001 NA ENTRADA E 001 NA VITRINE",NA,NA,CATALOGO_CRISTALEIRA
007-0007,https://i.imgur.com/LBGFicV.png,Cristaleira,CRISTALEIRA DONQUERQUE COM 1 PORTA - VITRINE,1,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, 001 NA ENTRADA E 001 NA VITRINE",NA,NA,CATALOGO_CRISTALEIRA
007-0008,https://i.imgur.com/GrtrJOz.png,Cristaleira,CRISTALEIRA DONQUERQUE COM 3 PORTAS,1,Loja,Area Da Entrada,0,0,0,"FICAM NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CRISTALEIRA
007-0009,https://i.imgur.com/x2I098h.png,Cristaleira,CRISTALEIRA RÚSTICA LARGA COM 2 PRATELEIRAS,1,Loja,Area Da Entrada,0,0,0,"FICA NA LOJA, ÁREA DA ENTRADA",NA,NA,CATALOGO_CRISTALEIRA
008-0001,https://i.imgur.com/lP958In.png,Espelho,ESPELHO BETHANIA,8,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0002,https://i.imgur.com/dGWwLGI.png,Espelho,ESPELHO BISOUTADO 2 LINHAS,2,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0003,NA,Espelho,ESPELHO BISOUTADO 3 LINHAS,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0004,https://i.imgur.com/0QRwohv.png,Espelho,"ESPELHO BISOUTADO 4 LINHAS (70 x 1,00)",1,Loja,Deposito,0,0,0,QUEBRADO,NA,NA,CATALOGO_ESPELHO
008-0005,https://i.imgur.com/VJKPHqi.png,Espelho,ESPELHO BISOUTADO RETANGULAR (ESTREITO,3,Loja,Deposito,0,0,0,001 QUEBRADO. ERAM 004,NA,NA,CATALOGO_ESPELHO
008-0006,https://i.imgur.com/g9nANBo.png,Espelho,ESPELHO CORTA DEDO DOURADO OVAL,3,Loja,Deposito,0,0,0,NA,NA,CONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0007,https://i.imgur.com/5VsJAOW.png,Espelho,ESPELHO CORTA DEDO DOURADO REDONDO,2,Loja,Deposito,0,0,0,NA,NA,CONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0008,https://i.imgur.com/eukzwpv.png,Espelho,ESPELHO CORTA DEDO PRETO QUADRADO,NA,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0009,https://i.imgur.com/AYAivhw.png,Espelho,ESPELHO CORTA DEDO PRETO RETANGULAR,NA,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0010,https://i.imgur.com/MjlVesb.png,Espelho,ESPELHO DA BORDA TRABALHADA PRETO,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0011,https://i.imgur.com/Yzt6cQp.png,Espelho,ESPELHO DOURADO A BELA E A FERA (GRANDE),1,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0012,https://i.imgur.com/nqsbPC0.png,Espelho,ESPELHO DOURADO BAMBU,1,Loja,Deposito,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0013,https://i.imgur.com/AcoSFpc.png,Espelho,ESPELHO DOURADO COM A BORDA TRABALHADA RETANGULAR,1,Loja,Deposito,0,0,0,FICAVA NA SALA DO ERNANDO,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0014,https://i.imgur.com/4xnRp76.png,Espelho,ESPELHO DOURADO COM A BORDA TRELIÇADA,2,Loja,Deposito,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0015,https://i.imgur.com/Zin9Z3d.png,Espelho,ESPELHO DOURADO COM BORDA TRABALHADA,1,Loja,Deposito,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0016,https://i.imgur.com/ph4e2rE.png,Espelho,ESPELHO DOURADO DO MÁRMORE FAKE,2,Loja,Deposito,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0017,https://i.imgur.com/0nkY3vL.png,Espelho,ESPELHO DOURADO ESTREITO,6,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0018,https://i.imgur.com/EOybLKp.png,Espelho,ESPELHO DOURADO MOLDURA TRABALHADA PARTE DE CIMA,1,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0019,https://i.imgur.com/F7utTy9.png,Espelho,ESPELHO DOURADO MOLDURATRABALHADA BISOUTADO 2 MENINOS,1,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0020,https://i.imgur.com/46jTIuB.png,Espelho,ESPELHO DOURADO OVAL MOLDURA EUROPEIA (GRANDE),2,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0021,https://i.imgur.com/IgYYtMm.png,Espelho,ESPELHO DOURADO P VARIADOS,9,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0022,https://i.imgur.com/xyRDYa9.png,Espelho,ESPELHO DOURADO RETANGULAR BORDA EUROPEIA,1,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0023,https://i.imgur.com/YEqXqpj.png,Espelho,ESPELHO DOURADO TRABALHADO,1,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0024,https://i.imgur.com/9b1te4S.png,Espelho,ESPELHO EM MDF BRANCO TRABALHADO,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0025,https://i.imgur.com/lP06yes.png,Espelho,ESPELHO MARINA OVAL DOURADO,2,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0026,https://i.imgur.com/wYODtOB.png,Espelho,ESPELHO MARINA QUADRADO DOURADO,4,Loja,Area Da Entrada,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0027,https://i.imgur.com/X7wp8Sq.png,Espelho,ESPELHO MOSAICO PRATA (MÉDIO),2,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0028,https://i.imgur.com/ZUOzh0T.png,Espelho,ESPELHO MOSAICO PRETO (GRANDE),1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0029,https://i.imgur.com/fsCTx5L.png,Espelho,ESPELHO MOSAICO VERDE (GRANDE),2,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0030,https://i.imgur.com/GOLkFSt.png,Espelho,ESPELHO MOSAICO VERDE (MÉDIO),1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0031,https://i.imgur.com/H6KD1zO.png,Espelho,ESPELHO OVAL BORDA PRETA DE VELUDO,1,Loja,Deposito,0,0,0,NA,NA,RECONFERÊNCIA DIA 23/07/18,CATALOGO_ESPELHO
008-0032,https://i.imgur.com/dY7RckE.png,Espelho,ESPELHO PRATA CORTA DEDO OVAL MAIOR,NA,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0033,NA,Espelho,ESPELHO PRATA CORTA DEDO OVAL MENOR,NA,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0034,https://i.imgur.com/oDmBIAS.png,Espelho,ESPELHO PRATA CORTA DEDO QUADRADO,NA,Loja,Deposito,0,0,0,001 FORA DA CAIXA,NA,NA,CATALOGO_ESPELHO
008-0035,NA,Espelho,ESPELHO PRATA CORTA DEDO REDONDO,NA,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0036,https://i.imgur.com/VjP4Mjv.png,Espelho,ESPELHO PRATA CORTA DEDO RETANGULAR,NA,Loja,Deposito,0,0,0,001 FORA DA CAIXA,NA,NA,CATALOGO_ESPELHO
008-0037,https://i.imgur.com/XfJhxFL.png,Espelho,ESPELHO PRATA MOLDURA BISOUTADO,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0038,https://i.imgur.com/kjcoCnM.png,Espelho,ESPELHO PRATA MOLDURA EUROPÉIA,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0039,https://i.imgur.com/vnAzV0h.png,Espelho,ESPELHO PRATA MOLDURA EUROPEU (GRANDE),2,Loja,Deposito,0,0,0,001 ERA PRETO,NA,NA,CATALOGO_ESPELHO
008-0040,https://i.imgur.com/M2ZxpyF.png,Espelho,ESPELHO PRATA MOLDURA EUROPEU 2 ANJOS,1,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0041,https://i.imgur.com/FfgPmHE.png,Espelho,ESPELHO PRATA OVAL BORDA TRABALHADA,2,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0042,https://i.imgur.com/XIgtuAe.png,Espelho,ESPELHO PRATA REDONDO (PEQUENO PP),2,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
008-0043,https://i.imgur.com/gHxYoc7.png,Espelho,ESPELHO PRATA TRABALHADOEM CIMA (GRANDE),2,Loja,Deposito,0,0,0,NA,NA,NA,CATALOGO_ESPELHO
