"typeResult","idGame","namePlayer","fgContested","fg2Contested","fg3Contested","boxOutsPlayerTeamRebound","screenAssist","ptsScreenAssist","pts","deflections","chargesDrawn","looseBallsRecoveredOffense","looseBallsRecoveredDefense","looseBallsRecovered","boxOutsOffense","boxOutsDefense","boxOutsPlayerTREB","boxOuts"
"player",21900004,"Bruce Brown",8,7,1,"0",0,0,7,0,0,0,0,0,0,0,0,0
"player",21900004,"Reggie Jackson",2,1,1,"1",0,0,5,3,0,1,0,1,0,1,0,1
"player",21900004,"Luke Kennard",2,1,1,"0",0,0,30,1,0,0,0,0,0,0,0,0
"player",21900004,"Derrick Rose",3,1,2,"0",1,2,18,0,0,2,0,2,0,0,0,0
"player",21900004,"Thon Maker",6,5,1,"1",2,5,4,1,1,0,0,0,0,5,0,5
"player",21900004,"Langston Galloway",6,5,1,"0",0,0,5,2,0,0,0,0,0,0,0,0
"player",21900004,"Christian Wood",2,1,1,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900004,"Tim Frazier",0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0
"player",21900004,"T.J. Warren",6,4,2,"0",0,0,10,3,0,0,0,0,0,0,0,0
"player",21900004,"Domantas Sabonis",10,6,4,"0",4,9,27,1,0,0,0,0,1,1,0,2
"player",21900004,"Myles Turner",18,15,3,"1",3,7,25,4,0,0,0,0,0,4,1,4
"player",21900004,"Jeremy Lamb",3,2,1,"0",0,0,10,1,0,0,0,0,0,0,0,0
"player",21900004,"Malcolm Brogdon",8,7,1,"0",1,2,22,1,0,1,1,2,0,0,0,0
"player",21900004,"Edmond Sumner",6,3,3,"0",0,0,6,3,0,2,0,2,0,0,0,0
"player",21900004,"Justin Holiday",1,0,1,"0",0,0,0,2,0,0,0,0,0,1,0,1
"player",21900004,"Aaron Holiday",0,0,0,"0",0,0,0,2,0,0,0,0,0,0,0,0
"player",21900004,"Doug McDermott",2,1,1,"0",0,0,6,1,0,0,0,0,0,0,0,0
"player",21900004,"TJ Leaf",2,0,2,"0",1,2,0,0,0,0,0,0,0,0,0,0
"player",21900004,"T.J. McConnell",2,2,0,"0",0,0,4,0,0,0,1,1,0,0,0,0
"player",21900005,"Cedi Osman",6,5,1,"0",0,0,13,3,0,0,0,0,0,0,0,0
"player",21900005,"Kevin Love",5,2,3,"3",2,5,11,0,0,0,1,1,1,6,3,7
"player",21900005,"Tristan Thompson",13,11,2,"3",6,13,16,0,0,1,0,1,1,4,1,5
"player",21900005,"Darius Garland",3,2,1,"0",0,0,8,1,0,0,0,0,0,0,0,0
"player",21900005,"Collin Sexton",7,3,4,"1",0,0,16,0,0,1,0,1,0,1,0,1
"player",21900005,"Larry Nance Jr.",6,4,2,"3",1,2,9,0,1,0,1,1,0,5,1,5
"player",21900005,"Matthew Dellavedova",4,3,1,"3",1,2,5,1,1,0,0,0,0,4,0,4
"player",21900005,"Jordan Clarkson",4,2,2,"0",0,0,7,2,0,0,1,1,0,0,0,0
"player",21900005,"Kevin Porter Jr.",2,1,1,"0",0,0,0,2,0,0,0,0,0,0,0,0
"player",21900005,"Jonathan Isaac",5,5,0,"1",0,0,3,2,0,0,1,1,0,1,1,1
"player",21900005,"Aaron Gordon",3,2,1,"0",2,4,9,1,0,0,0,0,0,0,0,0
"player",21900005,"Nikola Vucevic",9,8,1,"3",8,18,21,2,0,0,0,0,0,7,1,7
"player",21900005,"Evan Fournier",2,2,0,"1",0,0,16,1,0,0,0,0,0,1,0,1
"player",21900005,"D.J. Augustin",2,0,2,"0",0,0,9,0,0,0,0,0,0,0,0,0
"player",21900005,"Markelle Fultz",2,0,2,"1",0,0,12,1,0,0,1,1,0,1,0,1
"player",21900005,"Al-Farouq Aminu",8,5,3,"3",2,5,5,1,0,0,1,1,2,1,1,3
"player",21900005,"Mo Bamba",3,2,1,"2",3,7,7,1,0,0,0,0,0,2,1,2
"player",21900005,"Terrence Ross",7,2,5,"0",0,0,10,1,0,0,0,0,0,0,0,0
"player",21900005,"Michael Carter-Williams",1,1,0,"0",0,0,2,2,0,0,0,0,0,0,0,0
"player",21900006,"Treveon Graham",4,1,3,"0",0,0,9,0,0,0,1,1,0,1,0,1
"player",21900006,"Robert Covington",6,1,5,"0",2,4,15,3,0,0,0,0,0,0,0,0
"player",21900006,"Karl-Anthony Towns",20,17,3,"2",13,27,36,5,0,1,1,2,0,3,1,3
"player",21900006,"Andrew Wiggins",9,1,8,"0",0,0,21,1,0,0,0,0,0,0,0,0
"player",21900006,"Jeff Teague",8,5,3,"0",0,0,14,0,0,0,1,1,0,0,0,0
"player",21900006,"Noah Vonleh",5,5,0,"1",2,5,2,3,0,1,0,1,0,1,0,1
"player",21900006,"Shabazz Napier",0,0,0,"0",1,3,5,0,0,0,0,0,0,0,0,0
"player",21900006,"Jarrett Culver",1,0,1,"1",1,2,4,1,0,0,0,0,0,3,0,3
"player",21900006,"Josh Okogie",2,1,1,"0",0,0,11,1,0,0,0,0,0,0,0,0
"player",21900006,"Jake Layman",7,6,1,"0",0,0,10,0,0,0,1,1,0,0,0,0
"player",21900006,"Joe Harris",8,6,2,"2",2,6,14,0,0,1,0,1,0,3,0,3
"player",21900006,"Taurean Prince",6,4,2,"3",0,0,15,5,0,0,0,0,1,3,2,4
"player",21900006,"Jarrett Allen",33,26,7,"1",15,35,6,1,0,2,0,2,0,3,0,3
